valence,year,acousticness,artists,danceability,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,Genre,duration_min
603.0,2015,0.00256,"['Fetty Wap', 'Remy Boyz']",618.0,0.717,1,5NQbUaeTEOGdD6hHcre0dZ,0.0,7,434.8503,-5738.0,1,679 (feat. Remy Boyz),77.0,2015-06-29,292.43835,190.05,Trap / Hip-Hop,3.278216666666667
616.0,2015,0.00147,['Morgan Wallen'],517.0,877.0,0,1yj1ZztSGITJ5Nf4mfH92c,0.0,4,208.0,-3621.0,1,Spin You Around,72.0,2015-08-24,0.0297,"150,004",Pop,3.5475
451.0,2015,0.0285,['Alessia Cara'],573.0,0.739,0,0prNGof3XqfTvNDxHonvdK,0.0,0,111.0,-5.74,1,Scars To Your Beautiful,73.0,2015-11-13,129.0,"97,085",Pop,3.8371166666666667
0.0352,2015,194.0,['A$AP Rocky'],598.0,252.0,1,4S7YHmlWwfwArgd8LfSPud,0.0008825,2,0.0992,-15086.0,1,L$D,76.0,2015-05-26,0.0644,"120,064",Psychedelic Hip-Hop,3.971783333333333
0.817,2015,0.0244,['Fetty Wap'],746.0,873.0,1,2d8JP84HNLKhmd6IYOoupQ,0.0,7,354.0,-3803.0,1,Trap Queen,74.0,2015-09-25,128.0,"148,075",Trap,3.7015499999999997
211.0,2015,0.56,['Cavetown'],0.811,266.0,0,7s8VgA8OjvwBUuigKzEGBx,1.05e-06,7,0.0962,-12478.0,1,This Is Home,76.0,2015-08-03,0.0406,130.044,Indie Folk,3.7678833333333333
0.283,2015,369.0,"['Wiz Khalifa', 'Charlie Puth']",0.689,481.0,0,2JzZzZUQj3Qff7wapcbKjc,1.03e-06,10,0.0649,-7.503,1,See You Again (feat. Charlie Puth),82.0,,0.0815,"80,025",Pop Rap,3.8254333333333337
312.0,2015,113.0,"['Travis Scott', 'Kacy Hill']",402.0,526.0,1,51EC3I1nQXpec4gDk0mQyP,8.33e-06,9,105.0,-6.741,0,90210 (feat. Kacy Hill),75.0,2015-09-04,0.0904,"81,404",Hip-Hop / Psychedelic Rap,5.345625
199.0,2015,0.178,['X Ambassadors'],389.0,665.0,0,7lGKEWMXVWWTt3X71Bv44I,0.000732,0,116.0,-6169.0,1,Unsteady,77.0,2015-06-30,0.0644,"117,055",Alternative Pop,3.2257833333333332
792.0,2015,187.0,"['Renée Elise Goldsberry', 'Phillipa Soo', 'Jasmine Cephas-Jones', 'Leslie Odom Jr.', 'Original Broadway Cast of Hamilton']",0.74,727.0,0,71X7bPDljJHrmEGYCe7kQ8,0.0,2,434.8503,-6.253,1,The Schuyler Sisters,74.0,2015-09-25,278.0,"101,409",Musical / R&B,3.1090500000000003
0.0,2015,0.0,"['White Noise Meditation', 'Lullaby Land', 'White Noise Babies', 'Calming Sounds', 'Canciones De Cuna']",0.0,2.01e-05,0,67iF3DdebmElASIGoebYt1,0.0,5,0.0,-15776.0,1,Brown Noise - Loopable with No Fade,72.0,2015-05-26,0.0,0,Soundscape / Ambient,1.5179583333333329
434.0,2015,0.39,"['Jonathan Groff', 'Original Broadway Cast of Hamilton']",607.0,466.0,0,6OG1S805gIrH5nAQbEOPY3,0.0,0,135.0,-7562.0,1,You'll Be Back,74.0,2015-09-25,0.0578,"121,741",Musical / Pop Ballad,3.4720166666666668
515.0,2015,762.4442,['Justin Bieber'],609.0,378.0,0,50kpGaPAhYJ3sGmk6vplg0,0.0,4,0.28,-9828.0,1,Love Yourself,82.0,2015-11-13,292.43835,"100,418",Pop,3.8953333333333333
568.0,2015,0.15,"['Lin-Manuel Miranda', 'Anthony Ramos', 'Daveed Diggs', 'Okieriete Onaodowan', 'Leslie Odom Jr.', 'Original Broadway Cast of Hamilton']",698.0,649.0,1,4cxvludVmQxryrnx1m9FqL,0.0,8,0.0903,-6.764,1,My Shot,74.0,2015-09-25,292.43835,"180,466",Musical / Hip-Hop,5.345625
131.0,2015,0.00767,['Travis Scott'],713.0,526.0,1,1wHZx0LgzFHyeIZkUydNXq,0.000148,1,124.0,-5046.0,1,Antidote,77.0,2015-09-04,32.0,131.05,Trap,4.378216666666666
417.0,2015,0.4,"['Meghan Trainor', 'John Legend']",0.63,0.53,0,2YlZnw2ikdb837oKMKjBkW,0.0,0,177.0,-7.259,1,Like I'm Gonna Lose You (feat. John Legend),80.0,2015-01-09,0.0434,"108,038",Pop Soul,3.7508833333333333
354.0,2015,762.4442,"['Rihanna', 'Kanye West', 'Paul McCartney']",0.582,272.0,0,78TTtXnFQPzwqlbtbwqN0y,0.0,2,0.13,-5.662,1,FourFiveSeconds,79.0,2015-01-24,0.0501,"205,846",Acoustic Pop,3.1373
501.0,2015,0.12,['Cavetown'],0.576,759.0,0,0vf2eBw2inhl8y61cYQMv2,0.0,3,121.0,-8165.0,1,Devil Town,76.0,2015-11-09,0.0599,"99,969",Indie Folk,2.9992500000000004
519.0,2015,124.0,"['Leslie Odom Jr.', 'Original Broadway Cast of Hamilton']",0.543,473.0,0,7EqpEBPOohgk7NnKvBGFWo,4.04e-06,6,0.0922,-9638.0,1,Wait for It,74.0,2015-09-25,157.0,86.534,Musical / Ballad,3.2291666666666665
583.0,2015,113.0,['The Weeknd'],705.0,769.0,0,22VdIZQfgXJea34mQxlt81,0.0,9,105.0,-5526.0,0,Can't Feel My Face,79.0,2015-08-28,0.0425,"107,949",Pop / Funk,3.558666666666667
737.0,2015,334.0,"['Phillipa Soo', 'Original Broadway Cast of Hamilton']",688.0,491.0,0,54Sc7mZQ1RM03STpk4SfaA,0.0,5,0.0914,-7494.0,1,Helpless,74.0,2015-09-25,269.0,"79,009",Pop Rock,4.16285
196.0,2015,0.0725,['$uicideBoy$'],0.849,648.0,1,4irYeuAi87yyGHcI4h9s0x,0.0008825,7,0.0984,-6188.0,1,Paris,76.0,2015-11-20,0.0832,"106,075",Indie Rock,1.8503333333333332
937.0,2015,0.0891,['Joy Again'],682.0,0.9,0,1lpLrlyweOShEKXT1bpcDd,0.0008825,9,0.0685,-5.028,1,Looking Out for You,74.0,2015-11-06,0.0873,"100,721",Pop,2.99165
0.41,2015,0.0797,['Justin Bieber'],654.0,0.76,0,09CtPGIpYB4BrO8qb1RGsF,0.0,0,299.0,-3669.0,0,Sorry,82.0,2015-11-13,45.0,"99,945",R&B,3.34645
0.0713,2015,222.0,['The Weeknd'],0.572,631.0,1,4PhsKqMdgMEUSstTDAmMpg,0.0,7,135.0,-9836.0,0,Often,77.0,2015-08-28,0.0476,"134,078",Ambient / Chill,4.150666666666667
1e-05,2015,762.4442,"['Ocean Waves For Sleep', 'Ocean Sounds Collection', 'Ocean Sounds', 'Fresh Water Sounds', 'Water Sound Natural White Noise']",127.0,941.0,0,11Rm75lU5EmETsTR22C0gT,0.0008825,1,0.178,-16083.0,0,Rolling Ocean Waves,72.0,2015-06-04,0.0509,82.144,Indie Pop,1.6145333333333334
328.0,2015,0.533,['mike.'],815.0,364.0,1,5tsI3xxDHDgzHhn30LTQNz,3.52e-05,2,108.0,-11158.0,1,These Days,73.0,2015-10-30,292.43835,"129,937",Trap,4.4761
815.0,2015,0.0673,['Kodak Black'],943.0,595.0,1,34oWbFBfGEElvgO0a5c9V4,0.0,5,0.0839,-8372.0,0,No Flockin',71.0,2015-11-13,191.0,"117,532",Musical / Hip-Hop,2.75485
528.0,2015,272.0,"['Lin-Manuel Miranda', 'Leslie Odom Jr.', 'Anthony Ramos', 'Daveed Diggs', 'Okieriete Onaodowan']",0.646,439.0,0,6dr7ekfhlbquvsVY8D7gyk,0.0,7,0.0945,-10837.0,1,"Aaron Burr, Sir",73.0,2015-09-25,292.43835,"160,387",Indie Pop,2.610516666666667
601.0,2015,229.0,['Beach House'],508.0,792.0,0,7H0ya83CMmgFcOhw0UB6ow,0.0008825,0,145.0,-7311.0,0,Space Song,70.0,2015-08-28,0.0297,"147,067",Pop,5.341116666666666
187.0,2015,67.0,"['$uicideBoy$', 'Pouya']",526.0,0.62,1,70nmZhHZLNVYWP4NON41Zw,0.000241,8,139.0,-7244.0,0,Runnin' Thru The 7th With My Woadies,74.0,2015-09-01,281.0,"112,027",Hip-Hop,3.4294333333333333
595.0,2015,109.0,['One Direction'],0.73,703.0,0,2K87XMYnUMqLcX3zvtAF4G,0.0,0,0.0657,-5.672,0,Drag Me Down,81.0,2015-11-13,0.0369,"138,113",Pop Rock,3.202
0.74,2015,0.0215,['Flo Rida'],688.0,0.702,0,6Knv6wdA0luoMUuuoYi2i1,0.0,7,128.0,-4792.0,0,My House,76.0,2015-04-07,0.0499,"94,006",Alternative R&B,3.2031833333333335
758.0,2015,0.291,['Rae Sremmurd'],732.0,0.69,1,4jTiyLlOJVJj3mCr7yfPQD,0.0,0,116.0,-4992.0,0,This Could Be Us,74.0,2015-01-06,134.0,"143,072",R&B,3.43845
0.558,2015,0.0742,['Kendrick Lamar'],0.796,0.766,1,3iVcZ5G6tvkXZkZKlMpIUs,0.0,7,0.0827,-5974.0,1,Alright,73.0,2015-03-16,238.0,"110,034",Pop,3.65555
386.0,2015,392.0,"['Jeremih', 'YG']",856.0,527.0,1,0Dc7J9VPV4eOInoxUiZrsL,0.0,2,0.11,-5225.0,1,Don't Tell 'Em,75.0,2015-12-04,0.0997,"98,052",Hip-Hop,4.447333333333333
0.577,2015,0.00462,['Tame Impala'],602.0,0.881,0,2X485T9Z5Ly0xyaghN73ed,0.0008825,1,111.0,-5875.0,0,Let It Happen,76.0,2015-07-17,0.0443,"125,012",Pop Rock,5.345625
383.0,2015,399.0,"['Leslie Odom Jr.', 'Daveed Diggs', 'Original Broadway Cast of Hamilton']",0.72,0.666,0,7m9XR7FquXLP1FewdAcNS9,0.0,7,0.0844,-6914.0,1,Guns and Ships,72.0,2015-09-25,292.43835,138.03,Trap,2.1263
234.0,2015,762.4442,['Amber Run'],389.0,302.0,0,5zT5cMnMKoyruPj13TQXGx,0.0008825,7,104.0,-12485.0,0,I Found,76.0,2015-04-20,0.0438,"124,956",Pop Rap,4.55
416.0,2015,0.7,"['Jeremih', 'J. Cole']",688.0,556.0,1,08zJpaUQVi9FrKv2e32Bah,1.87e-06,6,108.0,-7.738,1,Planez,72.0,2015-12-04,264.0,"129,336",Alternative Pop,4.005333333333334
298.0,2015,392.0,['Cage The Elephant'],0.47,623.0,0,5n0CTysih20NYdT2S0Wpe8,0.000453,0,0.0992,-5655.0,1,Trouble,73.0,2015-12-18,0.0302,"77,861",Indie Pop,3.7662166666666668
0.676,2015,0.0438,['One Direction'],0.64,0.681,0,5dONhl6aXFuN86UBdayF6W,0.0,6,166.0,-5362.0,1,Olivia,78.0,2015-11-13,0.0334,"118,062",Pop,2.966216666666667
0.656,2015,0.0559,"['Drake', 'Future']",852.0,0.553,1,27GmP9AWRs744SzKcpJsTZ,0.0,1,332.0,-7286.0,1,Jumpman,74.0,2015-09-20,187.0,"142,079",R&B,3.4313166666666666
409.0,2015,0.663,['Steve Lacy'],414.0,473.0,0,6FBzhcfgGacfXF3AmtfEaX,0.0008825,11,128.0,-8911.0,0,C U Girl,72.0,2015-02-15,116.0,100,Alternative Pop,2.1616333333333335
0.29,2015,345.0,['Bryson Tiller'],0.543,449.0,0,5rgrBsAFYMun6yhtnLKRPz,0.0,1,157.0,-8065.0,1,Right My Wrongs,72.0,2015-10-02,0.0463,"132,609",Hip-Hop,4.155333333333333
0.291,2015,679.0,['Trey Songz'],733.0,408.0,0,4NYwy0R3NdvORX2B6OZXBT,3.92e-05,7,0.11,-7834.0,0,Slow Motion,73.0,2015-06-23,0.0388,"94,947",Pop,3.297566666666667
478.0,2015,0.822,['Colter Wall'],0.567,311.0,0,3Ozx6IrGdoQyAworJzvBDE,0.0008825,2,0.11,-14464.0,0,Sleeping on the Blacktop,70.0,2015-06-02,0.0455,83.11,Pop Rock,3.2079999999999997
249.0,2015,0.0372,['Houndmouth'],396.0,677.0,0,2kG5litgxXvx6ZRgwO1v7W,0.000137,3,112.0,-7513.0,1,Sedona,68.0,2015-03-17,0.0354,135.177,Alternative Pop,3.9979999999999998
441.0,2015,211.0,"['Leslie Odom Jr.', 'Lin-Manuel Miranda', 'Renée Elise Goldsberry', 'Phillipa Soo', 'Christopher Jackson', 'Original Broadway Cast of Hamilton']",0.77,482.0,0,7qfoq1JFKBUEIvhqOHzuqX,0.0,6,223.0,-9529.0,1,Non-Stop,72.0,2015-09-25,0.351,"91,994",Hip-Hop,5.345625
382.0,2015,0.0186,"['G-Eazy', 'Bebe Rexha']",757.0,672.0,1,40YcuQysJ0KlGQTeGUosTC,0.0,0,158.0,-6524.0,0,"Me, Myself & I",76.0,2015-12-04,0.0955,"111,996",Indie Pop,4.191116666666667
0.49,2015,272.0,['Tame Impala'],0.47,809.0,0,52ojopYMUzeNcudsoz7O9D,0.0008825,8,0.0491,-6.74,1,"New Person, Same Old Mistakes",73.0,2015-07-17,0.0495,"151,836",Pop,5.345625
472.0,2015,419.0,['Kodak Black'],773.0,516.0,1,3XoMtVDuIbmMQ9UKSShXti,0.0,9,0.0753,-12366.0,0,Already,70.0,2015-12-26,181.0,"120,001",Indie Pop,4.0276499999999995
605.0,2015,0.00967,['Chris Stapleton'],642.0,762.0,0,5jROdl6MhcmP3O7h2sVgtw,5.72e-05,6,182.0,-7411.0,1,Parachute,70.0,2015-05-04,0.0296,"113,038",Pop Rock,4.22
326.0,2015,762.4442,"['Sam Smith', 'John Legend']",468.0,0.19,0,64GRDrL1efgXclrhVCeuA0,0.0,4,107.0,-11138.0,1,Lay Me Down,76.0,2015-11-06,0.0373,"125,319",Hip-Hop,3.658933333333333
0.0808,2015,0.694,"[""Olivia O'Brien""]",657.0,355.0,0,0jllH0usRFD4LJkJnGK9Lf,0.000427,7,123.0,-12044.0,1,Complicated,77.0,2015-08-09,0.0714,74.99,R&B,3.15
755.0,2015,0.0151,['Shawn Mendes'],752.0,754.0,0,5jsw9uXEGuKyJzs0boZ1bT,0.0,1,0.0486,-6684.0,1,Stitches,73.0,2015-04-14,0.0615,"149,789",Indie Pop,3.448
383.0,2015,177.0,"['Lin-Manuel Miranda', 'Leslie Odom Jr.', 'Original Broadway Cast of Hamilton']",0.68,413.0,1,3nJYcY9yvKP8Oi2Ml8brXt,0.0,8,205.0,-9.41,1,Right Hand Man,71.0,2015-09-25,0.492,"158,576",Pop,5.345625
274.0,2015,0.00346,"['Major Lazer', 'MØ', 'DJ Snake']",723.0,809.0,0,1Lim1Py7xBgbAkAys3AGAG,0.0008825,7,434.8503,-3.081,0,Lean On,72.0,2015-11-27,0.0625,"98,007",Pop,2.9426833333333335
0.572,2015,0.0197,['Sia'],399.0,787.0,0,2s1sdSqGcKxpPr5lCl7jAV,6.07e-05,1,0.0685,-2.88,1,Chandelier,70.0,2015-05-04,0.0499,"117,089",Pop,3.602
406.0,2015,405.0,['The Weeknd'],659.0,0.291,1,4frLb7nWtsz2ymBE6k2GRP,0.0,2,0.0771,-8275.0,0,Earned It (Fifty Shades Of Grey),71.0,2015-08-28,0.0348,"119,829",R&B,4.628
