valence,year,acousticness,artists,danceability,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,Genre,duration_min
0.616,2015,0.001,['Morgan Wallen'],0.517,0.877,0,1yj1ZztSGITJ5Nf4mfH92c,0.0,4,0.208,-60.0,1,Spin You Around,72.0,24/08/2015,0.03,150.004,Pop,3.548
0.451,2015,0.028,['Alessia Cara'],0.573,0.739,0,0prNGof3XqfTvNDxHonvdK,0.0,0,0.111,-5.74,1,Scars To Your Beautiful,73.0,13/11/2015,0.129,97.085,Pop,3.837
0.035,2015,0.194,['A$AP Rocky'],0.598,0.252,1,4S7YHmlWwfwArgd8LfSPud,0.001,2,0.099,-60.0,1,L$D,76.0,26/05/2015,0.064,120.064,Psychedelic Hip-Hop,3.972
0.817,2015,0.024,['Fetty Wap'],0.746,0.873,1,2d8JP84HNLKhmd6IYOoupQ,0.0,7,0.354,-60.0,1,Trap Queen,74.0,25/09/2015,0.128,148.075,Trap,3.702
0.211,2015,0.56,['Cavetown'],0.811,0.266,0,7s8VgA8OjvwBUuigKzEGBx,0.0,7,0.096,-60.0,1,This Is Home,76.0,03/08/2015,0.041,130.044,Indie Folk,3.768
0.312,2015,0.113,"['Travis Scott', 'Kacy Hill']",0.402,0.526,1,51EC3I1nQXpec4gDk0mQyP,0.0,9,0.105,-6.741,0,90210 (feat. Kacy Hill),75.0,04/09/2015,0.09,81.404,Hip-Hop / Psychedelic Rap,5.346
0.199,2015,0.178,['X Ambassadors'],0.389,0.665,0,7lGKEWMXVWWTt3X71Bv44I,0.001,0,0.116,-60.0,1,Unsteady,77.0,30/06/2015,0.064,117.055,Alternative Pop,3.226
0.792,2015,0.187,"['Renée Elise Goldsberry', 'Phillipa Soo', 'Jasmine Cephas-Jones', 'Leslie Odom Jr.', 'Original Broadway Cast of Hamilton']",0.74,0.727,0,71X7bPDljJHrmEGYCe7kQ8,0.0,2,0.435,-6.253,1,The Schuyler Sisters,74.0,25/09/2015,0.278,101.409,Musical / R&B,3.109
0.0,2015,0.0,"['White Noise Meditation', 'Lullaby Land', 'White Noise Babies', 'Calming Sounds', 'Canciones De Cuna']",0.0,0.0,0,67iF3DdebmElASIGoebYt1,0.0,5,0.0,-60.0,1,Brown Noise - Loopable with No Fade,72.0,26/05/2015,0.0,50.0,Soundscape / Ambient,1.518
0.434,2015,0.39,"['Jonathan Groff', 'Original Broadway Cast of Hamilton']",0.607,0.466,0,6OG1S805gIrH5nAQbEOPY3,0.0,0,0.135,-60.0,1,You'll Be Back,74.0,25/09/2015,0.058,121.741,Musical / Pop Ballad,3.472
0.515,2015,0.762,['Justin Bieber'],0.609,0.378,0,50kpGaPAhYJ3sGmk6vplg0,0.0,4,0.28,-60.0,1,Love Yourself,82.0,13/11/2015,0.292,100.418,Pop,3.895
0.568,2015,0.15,"['Lin-Manuel Miranda', 'Anthony Ramos', 'Daveed Diggs', 'Okieriete Onaodowan', 'Leslie Odom Jr.', 'Original Broadway Cast of Hamilton']",0.698,0.649,1,4cxvludVmQxryrnx1m9FqL,0.0,8,0.09,-6.764,1,My Shot,74.0,25/09/2015,0.292,180.466,Musical / Hip-Hop,5.346
0.131,2015,0.008,['Travis Scott'],0.713,0.526,1,1wHZx0LgzFHyeIZkUydNXq,0.0,1,0.124,-60.0,1,Antidote,77.0,04/09/2015,0.032,131.05,Trap,4.378
0.417,2015,0.4,"['Meghan Trainor', 'John Legend']",0.63,0.53,0,2YlZnw2ikdb837oKMKjBkW,0.0,0,0.177,-7.259,1,Like I'm Gonna Lose You (feat. John Legend),80.0,09/01/2015,0.043,108.038,Pop Soul,3.751
0.354,2015,0.762,"['Rihanna', 'Kanye West', 'Paul McCartney']",0.582,0.272,0,78TTtXnFQPzwqlbtbwqN0y,0.0,2,0.13,-5.662,1,FourFiveSeconds,79.0,24/01/2015,0.05,200.0,Acoustic Pop,3.137
0.501,2015,0.12,['Cavetown'],0.576,0.759,0,0vf2eBw2inhl8y61cYQMv2,0.0,3,0.121,-60.0,1,Devil Town,76.0,09/11/2015,0.06,99.969,Indie Folk,2.999
0.519,2015,0.124,"['Leslie Odom Jr.', 'Original Broadway Cast of Hamilton']",0.543,0.473,0,7EqpEBPOohgk7NnKvBGFWo,0.0,6,0.092,-60.0,1,Wait for It,74.0,25/09/2015,0.157,86.534,Musical / Ballad,3.229
0.583,2015,0.113,['The Weeknd'],0.705,0.769,0,22VdIZQfgXJea34mQxlt81,0.0,9,0.105,-60.0,0,Can't Feel My Face,79.0,28/08/2015,0.042,107.949,Pop / Funk,3.559
0.737,2015,0.334,"['Phillipa Soo', 'Original Broadway Cast of Hamilton']",0.688,0.491,0,54Sc7mZQ1RM03STpk4SfaA,0.0,5,0.091,-60.0,1,Helpless,74.0,25/09/2015,0.269,79.009,Pop Rock,4.163
0.196,2015,0.072,['$uicideBoy$'],0.849,0.648,1,4irYeuAi87yyGHcI4h9s0x,0.001,7,0.098,-60.0,1,Paris,76.0,20/11/2015,0.083,106.075,Indie Rock,1.85
0.937,2015,0.089,['Joy Again'],0.682,0.9,0,1lpLrlyweOShEKXT1bpcDd,0.001,9,0.068,-5.028,1,Looking Out for You,74.0,06/11/2015,0.087,100.721,Pop,2.992
0.41,2015,0.08,['Justin Bieber'],0.654,0.76,0,09CtPGIpYB4BrO8qb1RGsF,0.0,0,0.299,-60.0,0,Sorry,82.0,13/11/2015,0.045,99.945,R&B,3.346
0.071,2015,0.222,['The Weeknd'],0.572,0.631,1,4PhsKqMdgMEUSstTDAmMpg,0.0,7,0.135,-60.0,0,Often,77.0,28/08/2015,0.048,134.078,Ambient / Chill,4.151
0.328,2015,0.533,['mike.'],0.815,0.364,1,5tsI3xxDHDgzHhn30LTQNz,0.0,2,0.108,-60.0,1,These Days,73.0,30/10/2015,0.292,129.937,Trap,4.476
0.815,2015,0.067,['Kodak Black'],0.943,0.595,1,34oWbFBfGEElvgO0a5c9V4,0.0,5,0.084,-60.0,0,No Flockin',71.0,13/11/2015,0.191,117.532,Musical / Hip-Hop,2.755
0.528,2015,0.272,"['Lin-Manuel Miranda', 'Leslie Odom Jr.', 'Anthony Ramos', 'Daveed Diggs', 'Okieriete Onaodowan']",0.646,0.439,0,6dr7ekfhlbquvsVY8D7gyk,0.0,7,0.094,-60.0,1,"Aaron Burr, Sir",73.0,25/09/2015,0.292,160.387,Indie Pop,2.611
0.601,2015,0.229,['Beach House'],0.508,0.792,0,7H0ya83CMmgFcOhw0UB6ow,0.001,0,0.145,-60.0,0,Space Song,70.0,28/08/2015,0.03,147.067,Pop,5.341
0.187,2015,0.067,"['$uicideBoy$', 'Pouya']",0.526,0.62,1,70nmZhHZLNVYWP4NON41Zw,0.0,8,0.139,-60.0,0,Runnin' Thru The 7th With My Woadies,74.0,01/09/2015,0.281,112.027,Hip-Hop,3.429
0.595,2015,0.109,['One Direction'],0.73,0.703,0,2K87XMYnUMqLcX3zvtAF4G,0.0,0,0.066,-5.672,0,Drag Me Down,81.0,13/11/2015,0.037,138.113,Pop Rock,3.202
0.74,2015,0.022,['Flo Rida'],0.688,0.702,0,6Knv6wdA0luoMUuuoYi2i1,0.0,7,0.128,-60.0,0,My House,76.0,07/04/2015,0.05,94.006,Alternative R&B,3.203
0.758,2015,0.291,['Rae Sremmurd'],0.732,0.69,1,4jTiyLlOJVJj3mCr7yfPQD,0.0,0,0.116,-60.0,0,This Could Be Us,74.0,06/01/2015,0.134,143.072,R&B,3.438
0.558,2015,0.074,['Kendrick Lamar'],0.796,0.766,1,3iVcZ5G6tvkXZkZKlMpIUs,0.0,7,0.083,-60.0,1,Alright,73.0,16/03/2015,0.238,110.034,Pop,3.656
0.386,2015,0.392,"['Jeremih', 'YG']",0.856,0.527,1,0Dc7J9VPV4eOInoxUiZrsL,0.0,2,0.11,-60.0,1,Don't Tell 'Em,75.0,04/12/2015,0.1,98.052,Hip-Hop,4.447
0.577,2015,0.005,['Tame Impala'],0.602,0.881,0,2X485T9Z5Ly0xyaghN73ed,0.001,1,0.111,-60.0,0,Let It Happen,76.0,17/07/2015,0.044,125.012,Pop Rock,5.346
0.383,2015,0.399,"['Leslie Odom Jr.', 'Daveed Diggs', 'Original Broadway Cast of Hamilton']",0.72,0.666,0,7m9XR7FquXLP1FewdAcNS9,0.0,7,0.084,-60.0,1,Guns and Ships,72.0,25/09/2015,0.292,138.03,Trap,2.126
0.234,2015,0.762,['Amber Run'],0.389,0.302,0,5zT5cMnMKoyruPj13TQXGx,0.001,7,0.104,-60.0,0,I Found,76.0,20/04/2015,0.044,124.956,Pop Rap,4.55
0.416,2015,0.7,"['Jeremih', 'J. Cole']",0.688,0.556,1,08zJpaUQVi9FrKv2e32Bah,0.0,6,0.108,-7.738,1,Planez,72.0,04/12/2015,0.264,129.336,Alternative Pop,4.005
0.298,2015,0.392,['Cage The Elephant'],0.47,0.623,0,5n0CTysih20NYdT2S0Wpe8,0.0,0,0.099,-60.0,1,Trouble,73.0,18/12/2015,0.03,77.861,Indie Pop,3.766
0.676,2015,0.044,['One Direction'],0.64,0.681,0,5dONhl6aXFuN86UBdayF6W,0.0,6,0.166,-60.0,1,Olivia,78.0,13/11/2015,0.033,118.062,Pop,2.966
0.656,2015,0.056,"['Drake', 'Future']",0.852,0.553,1,27GmP9AWRs744SzKcpJsTZ,0.0,1,0.332,-60.0,1,Jumpman,74.0,20/09/2015,0.187,142.079,R&B,3.431
0.409,2015,0.663,['Steve Lacy'],0.414,0.473,0,6FBzhcfgGacfXF3AmtfEaX,0.001,11,0.128,-60.0,0,C U Girl,72.0,15/02/2015,0.116,100.0,Alternative Pop,2.162
0.29,2015,0.345,['Bryson Tiller'],0.543,0.449,0,5rgrBsAFYMun6yhtnLKRPz,0.0,1,0.157,-60.0,1,Right My Wrongs,72.0,02/10/2015,0.046,132.609,Hip-Hop,4.155
0.291,2015,0.679,['Trey Songz'],0.733,0.408,0,4NYwy0R3NdvORX2B6OZXBT,0.0,7,0.11,-60.0,0,Slow Motion,73.0,23/06/2015,0.039,94.947,Pop,3.298
